USV,new_name,ps_name,glyph_name
201A,quotesinglbase,quotesinglbase,SglLow9QuotMrk
201C,quotedblleft,quotedblleft,LftDblQuotMrk
201D,quotedblright,quotedblright,RtDblQuotMrk
201E,quotedblbase,quotedblbase,DblLow9QuotMrk
2020,dagger,dagger,Dagger
2021,daggerdbl,daggerdbl,DblDagger
2022,bullet,bullet,Bullet
2026,ellipsis,ellipsis,HorizEllipsis
2027,hyphenationpoint,uni2027,HyphenationPt
2028,lineseparator,uni2028,LineSep
2029,paragraphseparator,uni2029,ParagraphSeparator
2030,perthousand,perthousand,PerMilleSgn
2039,guilsinglleft,guilsinglleft,SglLftPtngAngQuotMrk
203A,guilsinglright,guilsinglright,SglRtPtngAngQuotMrk
2044,fraction,fraction,FracSlash
20AC,euro,Euro,EuroSgn
2122,trademark,trademark,TradeMrkSgn
2126,Ohm,Omega,OhmSgn
2202,partialdiff,partialdiff,PartialDiff
2206,increment,Delta,Increment
220F,product,product,NAryProduct
2211,summation,summation,NArySummation
2219,bulletoperator,uni2219,BulletOperator
221A,radical,radical,SqrRoot
221E,infinity,infinity,Infinity
222B,integral,integral,Integral
2248,approxequal,approxequal,AlmostEqTo
2260,notequal,notequal,NotEqTo
2264,lessequal,lessequal,LTOrEqTo
2265,greaterequal,greaterequal,GTOrEqTo
25CA,lozenge,lozenge,Lozenge
FB01,fi,fi,LtnSmLigFi
FB02,fl,fl,LtnSmLigFl
FE00,VS1,uniFE00,VS1
FE01,VS2,uniFE01,VS2
FE02,VS3,uniFE02,VS3
FE03,VS4,uniFE03,VS4
FE04,VS5,uniFE04,VS5
FE05,VS6,uniFE05,VS6
FE06,VS7,uniFE06,VS7
FE07,VS8,uniFE07,VS8
FE08,VS9,uniFE08,VS9
FE09,VS10,uniFE09,VS10
FE0A,VS11,uniFE0A,VS11
FE0B,VS12,uniFE0B,VS12
FE0C,VS13,uniFE0C,VS13
FE0D,VS14,uniFE0D,VS14
FE0E,VS15,uniFE0E,VS15
FE0F,VS16,uniFE0F,VS16
FFFC,objectReplacementCharacter,uniFFFC,ObjectReplChar
FFFD,replacementCharacter,uniFFFD,ReplChar
,GrCapDelta,GrCapDelta,GrCapDelta
,CombTildeOverlay.Lrg,CombTildeOverlay.Lrg,CombTildeOverlay.Lrg
,CombOgonek,CombOgonek,CombOgonek
,CombBreve,CombBreve,CombBreve
