Name,GlyphsName,ps_name,AGL,Order,USV,Dir,shapeOrder,DesignerOrder,Fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / commet,bcp47tags,OTLang,Feat,,GlyphsAppName,Sort,
absHahTwoDotsVerticalAboveMed,hahTwodotsverticalabove-ar.medi,uni0682.medi,,860,,AL,581,436,SHL,absHahMed,hah-ar.medi,_dot2v,,,,,,,,,,,,,,3429.002,
absHahTwoDotsVerticalAboveIni,hahTwodotsverticalabove-ar.init,uni0682.init,,1032,,AL,563,437,SHL,absHahIni,hah-ar.init,_dot2v,,,,,,,,,,,,,,3429.003,
absHahTwoDotsVerticalAboveMed.hand,hahTwodotsverticalabove-ar.medi.hand,uni0682.medi.hand,,861,,AL,598,438,H,absHahMed.hand,hah-ar.medi.hand,_dot2v,,,,,,,,,,,cv08=1,,,3429.092,
absHahTwoDotsAbove,hahTwodotshorizontalabove-ar,uni0757,,428,0757,AL,537,439,SHL,absHah,hah-ar,_dot2h,,,,,,,,,,,,,hahTwodotshorizontalabove-ar,3430,
absHahTwoDotsAboveFin,hahTwodotshorizontalabove-ar.fina,uni0757.fina,,685,,AL,555,440,SHL,absHahFin,hah-ar.fina,_dot2h,,,,,,,,,,,,,,3430.001,
absHahTwoDotsAboveMed,hahTwodotshorizontalabove-ar.medi,uni0757.medi,,878,,AL,591,441,SHL,absHahMed,hah-ar.medi,_dot2h,,,,,,,,,,,,,,3430.002,
absHahTwoDotsAboveIni,hahTwodotshorizontalabove-ar.init,uni0757.init,,1044,,AL,573,442,SHL,absHahIni,hah-ar.init,_dot2h,,,,,,,,,,,,,,3430.003,
absHahTwoDotsAboveMed.hand,hahTwodotshorizontalabove-ar.medi.hand,uni0757.medi.hand,,879,,AL,604,443,H,absHahMed.hand,hah-ar.medi.hand,_dot2h,,,,,,,,,,,cv08=1,,,3430.092,
absHahThreeDotsAbove,hahThreedotsabove-ar,uni0685,,419,0685,AL,530,444,SHL,absHah,hah-ar,_dot3u,,,,,,,,,,,,,hahThreedotsabove-ar,3431,
absHahThreeDotsAboveFin,hahThreedotsabove-ar.fina,uni0685.fina,,676,,AL,548,445,SHL,absHahFin,hah-ar.fina,_dot3u,,,,,,,,,,,,,,3431.001,
absHahThreeDotsAboveMed,hahThreedotsabove-ar.medi,uni0685.medi,,866,,AL,584,446,SHL,absHahMed,hah-ar.medi,_dot3u,,,,,,,,,,,,,,3431.002,
absHahThreeDotsAboveIni,hahThreedotsabove-ar.init,uni0685.init,,1035,,AL,566,447,SHL,absHahIni,hah-ar.init,_dot3u,,,,,,,,,,,,,,3431.003,
absHahThreeDotsAboveMed.hand,hahThreedotsabove-ar.medi.hand,uni0685.medi.hand,,867,,AL,601,448,H,absHahMed.hand,hah-ar.medi.hand,_dot3u,,,,,,,,,,,cv08=1,,,3431.092,
absHahThreeDotsUpBelow,hahThreedotsupbelow-ar,uni0758,,429.1,0758,AL,538,449,SL,absHah,hah-ar,,,_dot3u,,,,,,,,,,,hahThreedotsupbelow-ar,3432,
absHahThreeDotsUpwardBelow,hahThreedotsupbelow-ar,uni0758,,429,0758,AL,538,450,H,absHah,hah-ar,,,_dot3u,,,,,,,,,,,hahThreedotsupbelow-ar,3432,
absHahThreeDotsUpBelowFin,hahThreedotsupbelow-ar.fina,uni0758.fina,,686.1,,AL,556,451,SL,absHahFin,hah-ar.fina,,,_dot3u,,,,,,,,,,,,3432.001,
absHahThreeDotsUpwardBelowFin,hahThreedotsupbelow-ar.fina,uni0758.fina,,686,,AL,556,452,H,absHahFin,hah-ar.fina,,,_dot3u,,,,,,,,,,,,3432.001,
absHahThreeDotsUpBelowMed,hahThreedotsupbelow-ar.medi,uni0758.medi,,880.1,,AL,592,453,SL,absHahMed,hah-ar.medi,,_dot3u,,,,,,,,,,,,,3432.002,
absHahThreeDotsUpwardBelowMed,hahThreedotsupbelow-ar.medi,uni0758.medi,,880,,AL,592,454,H,absHahMed,hah-ar.medi,,_dot3u,,,,,,,,,,,,,3432.002,
absHahThreeDotsUpBelowIni,hahThreedotsupbelow-ar.init,uni0758.init,,1045.1,,AL,574,455,SL,absHahIni,hah-ar.init,,_dot3u,,,,,,,,,,,,,3432.003,
absHahThreeDotsUpwardBelowIni,hahThreedotsupbelow-ar.init,uni0758.init,,1045,,AL,574,456,H,absHahIni,hah-ar.init,,_dot3u,,,,,,,,,,,,,3432.003,
absHahThreeDotsUpwardBelowMed.hand,hahThreedotsupbelow-ar.medi.hand,uni0758.medi.hand,,881,,AL,605,457,H,absHahMed.hand,hah-ar.medi.hand,,_dot3u,,,,,,,,,,cv08=1,,,3432.092,
absKhah,khah-ar,uni062E,,414,062E,AL,525,458,SHLM,absHah,hah-ar,_dot1,,,,,,,,,,,,,khah-ar,3435,
absKhahFin,khah-ar.fina,uni062E.fina,,671,,AL,543,459,SHLM,absHahFin,hah-ar.fina,_dot1,,,,,,,,,,,,,,3435.001,
absKhahMed,khah-ar.medi,uni062E.medi,,857,,AL,579,460,SHLM,absHahMed,hah-ar.medi,_dot1,,,,,,,,,,,,,,3435.002,
absKhahIni,khah-ar.init,uni062E.init,,1030,,AL,561,461,SHLM,absHahIni,hah-ar.init,_dot1,,,,,,,,,,,,,,3435.003,
absKhahMed.hand,khah-ar.medi.hand,uni062E.medi.hand,,858,,AL,597,462,H,absHahMed.hand,hah-ar.medi.hand,_dot1,,,,,,,,,,,cv08=1,,,3435.092,
absHahSmallTahBelow,hahTahbelow-ar,uni076E,,425,076E,AL,535,463,SL,absHah,hah-ar,,,_tah,,,,,5.1,,,,,,hahTahbelow-ar,3440,
absHahSmallTahBelowFin,hahTahbelow-ar.fina,uni076E.fina,,682,,AL,553,464,SL,absHahFin,hah-ar.fina,,,_tah,,,,,5.1,,,,,,,3440.001,
absHahSmallTahBelowMed,hahTahbelow-ar.medi,uni076E.medi,,875,,AL,589,465,SL,absHahMed,hah-ar.medi,,_tah,,,,,,5.1,,,,,,,3440.002,
absHahSmallTahBelowIni,hahTahbelow-ar.init,uni076E.init,,1041,,AL,571,466,SL,absHahIni,hah-ar.init,,_tah,,,,,,5.1,,,,,,,3440.003,
absHahSmallTahTwoDots,hahTahTwodotshorizontalabove-ar,uni076F,,424,076F,AL,534,467,SL,absHah,hah-ar,,,_dot2h_tah,,,,,5.1,,,,,,hahTahTwodotshorizontalabove-ar,3444,
absHahSmallTahTwoDotsFin,hahTahTwodotshorizontalabove-ar.fina,uni076F.fina,,681,,AL,552,468,SL,absHahFin,hah-ar.fina,,,_dot2h_tah,,,,,5.1,,,,,,,3444.001,
absHahSmallTahTwoDotsMed,hahTahTwodotshorizontalabove-ar.medi,uni076F.medi,,874,,AL,588,469,SL,absHahMed,hah-ar.medi,,_dot2h_tah,,,,,,5.1,,,,,,,3444.002,
absHahSmallTahTwoDotsIni,hahTahTwodotshorizontalabove-ar.init,uni076F.init,,1040,,AL,570,470,SL,absHahIni,hah-ar.init,,_dot2h_tah,,,,,,5.1,,,,,,,3444.003,
absHahSmallTahAbove,hahTahabove-ar,uni0772,,427,0772,AL,536,471,SL,absHah,hah-ar,_tah,,,,,,,5.1,,,,,,hahTahabove-ar,3835,
absHahSmallTahAboveFin,hahTahabove-ar.fina,uni0772.fina,,684,,AL,554,472,SL,absHahFin,hah-ar.fina,_tah,,,,,,,5.1,,,,,,,3835.001,
absHahSmallTahAboveMed,hahTahabove-ar.medi,uni0772.medi,,877,,AL,590,473,SL,absHahMed,hah-ar.medi,_tah,,,,,,,5.1,,,,,,,3835.002,
absHahSmallTahAboveIni,hahTahabove-ar.init,uni0772.init,,1043,,AL,572,474,SL,absHahIni,hah-ar.init,_tah,,,,,,,5.1,,,,,,,3835.003,
absHahDigitFourBelow,hahFourbelow-ar,uni077C,,430,077C,AL,539,475,S,absHah,hah-ar,,,_four,,,,,5.1,,,,,,hahFourbelow-ar,3445,
absHahDigitFourBelowFin,hahFourbelow-ar.fina,uni077C.fina,,687,,AL,557,476,S,absHahFin,hah-ar.fina,,,_four,,,,,5.1,,,,,,,3445.001,
absHahDigitFourBelowMed,hahFourbelow-ar.medi,uni077C.medi,,882,,AL,593,477,S,absHahMed,hah-ar.medi,,_four,,,,,,5.1,,,,,,,3445.002,
absHahDigitFourBelowIni,hahFourbelow-ar.init,uni077C.init,,1046,,AL,575,478,S,absHahIni,hah-ar.init,,_four,,,,,,5.1,,,,,,,3445.003,
absJeemTwoDotsAbove,jeemTwodotsabove-ar,uni08A2,,431,08A2,AL,540,479,SH,absHah,hah-ar,_dot2h,,_dot1,,,,,6.1,,,,,,jeemTwodotsabove-ar,3449,
absJeemTwoDotsAboveFin,jeemTwodotsabove-ar.fina,uni08A2.fina,,688,,AL,558,480,SH,absHahFin,hah-ar.fina,_dot2h,,_dot1,,,,,6.1,,,,,,,3449.001,
absJeemTwoDotsAboveMed,jeemTwodotsabove-ar.medi,uni08A2.medi,,883,,AL,594,481,SH,absHahMed,hah-ar.medi,_dot2h,_dot1,,,,,,6.1,,,,,,,3449.002,
absJeemTwoDotsAboveIni,jeemTwodotsabove-ar.init,uni08A2.init,,1047,,AL,576,482,SH,absHahIni,hah-ar.init,_dot2h,_dot1,,,,,,6.1,,,,,,,3449.003,
absJeemTwoDotsAboveMed.hand,jeemTwodotsabove-ar.medi.hand,uni08A2.medi.hand,,884,,AL,606,483,H,absHahMed.hand,hah-ar.medi.hand,_dot2h,_dot1,,,,,,6.1,,,,cv08=1,,,3449.092,
absDal,dal-ar,uni062F,,314,062F,AL,346,484,*,,,,,,,,,,,,,,,,dal-ar,3450,
absDalFin,dal-ar.fina,uni062F.fina,,586,,AL,376,485,*,,,,,,,,,,,,,,,,,3450.001,
absDal.sen,dal-ar.loclWLF,uni062F.loclWLF,,329,,AL,361,486,S,,,,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3450.1,
absThal,thal-ar,uni0630,,315,0630,AL,347,487,SHLM,absDal,dal-ar,_dot1,,,,,,,,,,,,,thal-ar,3453,
absThalFin,thal-ar.fina,uni0630.fina,,587,,AL,377,488,SHLM,absDalFin,dal-ar.fina,_dot1,,,,,,,,,,,,,,3453.001,
absThal.sen,thal-ar.loclWLF,uni0630.loclWLF,,330,,AL,362,489,S,absDal.sen,dal-ar.loclWLF,_dot1,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3453.1,
absDdal,ddal-ar,uni0688,,316,0688,AL,348,490,SL,absDal,dal-ar,_tah,,,,,,,,,,,,,ddal-ar,3457,
absDdalFin,ddal-ar.fina,uni0688.fina,,588,,AL,378,491,SL,absDalFin,dal-ar.fina,_tah,,,,,,,,,,,,,,3457.001,
absDdal.sen,ddal-ar.loclWLF,uni0688.loclWLF,,331,,AL,363,492,S,absDal.sen,dal-ar.loclWLF,_tah,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3457.1,
absDahal,dahal-ar,uni068C,,320,068C,AL,352,493,SHL,absDal,dal-ar,_dot2h,,,,,,,,,,,,,dahal-ar,3460,
absDahalFin,dahal-ar.fina,uni068C.fina,,592,,AL,382,494,SHL,absDalFin,dal-ar.fina,_dot2h,,,,,,,,,,,,,,3460.001,
absDahal.sen,dahal-ar.loclWLF,uni068C.loclWLF,,335,,AL,367,495,S,absDal.sen,dal-ar.loclWLF,_dot2h,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3460.1,
absDdahal,ddahal-ar,uni068D,,321,068D,AL,353,496,SHL,absDal,dal-ar,,_dot2h,,,,,,,,,,,,ddahal-ar,3463,
absDdahalFin,ddahal-ar.fina,uni068D.fina,,593,,AL,383,497,SHL,absDalFin,dal-ar.fina,,_dot2h,,,,,,,,,,,,,3463.001,
absDdahal.sen,ddahal-ar.loclWLF,uni068D.loclWLF,,336,,AL,368,498,S,absDal.sen,dal-ar.loclWLF,,_dot2h,,,,,,,Senegal variant from Mark,,,cv12=1,,,3463.1,
absDalRing,dalRing-ar,uni0689,,317,0689,AL,349,499,SHL,absDal,dal-ar,,,,_ring,,,,,,,,,,dalRing-ar,3466,
absDalRingFin,dalRing-ar.fina,uni0689.fina,,589,,AL,379,500,SHL,absDalFin,dal-ar.fina,,,,_ring,,,,,,,,,,,3466.001,
absDalRing.sen,dalRing-ar.loclWLF,uni0689.loclWLF,,332,,AL,364,501,S,absDal.sen,dal-ar.loclWLF,,,,_ring,,,,,Senegal variant from Mark,,,cv12=1,,,3466.1,
absDalDotBelow,dalDotbelow-ar,uni068A,,318,068A,AL,350,502,SHL,absDal,dal-ar,,_dot1,,,,,,,,,,,,dalDotbelow-ar,3467,
absDalDotBelowFin,dalDotbelow-ar.fina,uni068A.fina,,590,,AL,380,503,SHL,absDalFin,dal-ar.fina,,_dot1,,,,,,,,,,,,,3467.001,
absDalDotBelow.sen,dalDotbelow-ar.loclWLF,uni068A.loclWLF,,333,,AL,365,504,S,absDal.sen,dal-ar.loclWLF,,_dot1,,,,,,,Senegal variant from Mark,,,cv12=1,,,3467.1,
absDalDotBelowSmallTah,dalDotbelowTah-ar,uni068B,,319,068B,AL,351,505,SHL,absDal,dal-ar,_tah,_dot1,,,,,,,,,,,,dalDotbelowTah-ar,3468,
absDalDotBelowSmallTahFin,dalDotbelowTah-ar.fina,uni068B.fina,,591,,AL,381,506,SHL,absDalFin,dal-ar.fina,_tah,_dot1,,,,,,,,,,,,,3468.001,
absDalDotBelowSmallTah.sen,dalDotbelowTah-ar.loclWLF,uni068B.loclWLF,,334,,AL,366,507,S,absDal.sen,dal-ar.loclWLF,_tah,_dot1,,,,,,,Senegal variant from Mark,,,cv12=1,,,3468.1,
absDul,dul-ar,uni068E,,322,068E,AL,354,508,SHL,absDal,dal-ar,_dot3u,,,,,,,,,,,,,dul-ar,3469,
absDulFin,dul-ar.fina,uni068E.fina,,594,,AL,384,509,SHL,absDalFin,dal-ar.fina,_dot3u,,,,,,,,,,,,,,3469.001,
absDul.sen,dul-ar.loclWLF,uni068E.loclWLF,,337,,AL,369,510,S,absDal.sen,dal-ar.loclWLF,_dot3u,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3469.1,
absDalThreeDotsAboveDownwards,dalThreedotsdown-ar,uni068F,,323,068F,AL,355,511,SHL,absDal,dal-ar,_dot3d,,,,,,,,,,,,,dalThreedotsdown-ar,3472,
absDalThreeDotsAboveDownwardsFin,dalThreedotsdown-ar.fina,uni068F.fina,,595,,AL,385,512,SHL,absDalFin,dal-ar.fina,_dot3d,,,,,,,,,,,,,,3472.001,
absDalThreeDotsAboveDownwards.sen,dalThreedotsdown-ar.loclWLF,uni068F.loclWLF,,338,,AL,370,513,S,absDal.sen,dal-ar.loclWLF,_dot3d,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3472.1,
absDalFourDotsAbove,dalFourdots-ar,uni0690,,324,0690,AL,356,514,SL,absDal,dal-ar,_dot4,,,,,,,,,,,,,dalFourdots-ar,3473,
absDalFourDotsAboveFin,dalFourdots-ar.fina,uni0690.fina,,596,,AL,386,515,SL,absDalFin,dal-ar.fina,_dot4,,,,,,,,,,,,,,3473.001,
absDalFourDotsAbove.sen,dalFourdots-ar.loclWLF,uni0690.loclWLF,,339,,AL,371,516,S,absDal.sen,dal-ar.loclWLF,_dot4,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3473.1,
absDalHat,dalVinvertedabove-ar,uni06EE,,325,06EE,AL,357,517,SHL,absDal,dal-ar,_hat,,,,,,,,,,,,,dalVinvertedabove-ar,3474,
absDalHatFin,dalVinvertedabove-ar.fina,uni06EE.fina,,597,,AL,387,518,SHL,absDalFin,dal-ar.fina,_hat,,,,,,,,,,,,,,3474.001,
absDalHat.sen,dalVinvertedabove-ar.loclWLF,uni06EE.loclWLF,,340,,AL,372,519,S,absDal.sen,dal-ar.loclWLF,_hat,,,,,,,,Senegal variant from Mark,,,cv12=1,,,3474.1,
absDalTwoVertBelowSmallTah,dalTwodotsverticalbelowTah-ar,uni0759,,326,0759,AL,358,520,SL,absDal,dal-ar,_tah,_dot2v,,,,,,,,,,,,dalTwodotsverticalbelowTah-ar,3475,
absDalTwoVertBelowSmallTahFin,dalTwodotsverticalbelowTah-ar.fina,uni0759.fina,,598,,AL,388,521,SL,absDalFin,dal-ar.fina,_tah,_dot2v,,,,,,,,,,,,,3475.001,
absDalTwoVertBelowSmallTah.sen,dalTwodotsverticalbelowTah-ar.loclWLF,uni0759.loclWLF,,341,,AL,373,522,S,absDal.sen,dal-ar.loclWLF,_tah,_dot2v,,,,,,,Senegal variant from Mark,,,cv12=1,,,3475.1,
absDalInvSmallVBelow,dalVinvertedbelow-ar,uni075A,,327,075A,AL,359,523,SHL,absDal,dal-ar,,_invSmallV,,,,,,,,,,,,dalVinvertedbelow-ar,3476,
absDalInvSmallVBelowFin,dalVinvertedbelow-ar.fina,uni075A.fina,,599,,AL,389,524,SHL,absDalFin,dal-ar.fina,,_invSmallV,,,,,,,,,,,,,3476.001,
absDalInvSmallVBelow.sen,dalVinvertedbelow-ar.loclWLF,uni075A.loclWLF,,342,,AL,374,525,S,absDal.sen,dal-ar.loclWLF,,_invSmallV,,,,,,,Senegal variant from Mark,,,cv12=1,,,3476.1,
absDalThreeDotsBelow,dalThreedotsbelow-ar,uni08AE,,328,08AE,AL,360,526,SH,absDal,dal-ar,,_dot3d,,,,,,7.0,,,,,,dalThreedotsbelow-ar,3477,
absDalThreeDotsBelowFin,dalThreedotsbelow-ar.fina,uni08AE.fina,,600,,AL,390,527,SH,absDalFin,dal-ar.fina,,_dot3d,,,,,,7.0,,,,,,,3477.001,
absDalThreeDotsBelow.sen,dalThreedotsbelow-ar.loclWLF,uni08AE.loclWLF,,343,,al,375,528,S,absDal.sen,dal-ar.loclWLF,,_dot3d,,,,,,7.0,Senegal variant from Mark,,,cv12=1,,,3477.1,
absReh,reh-ar,uni0631,,344,0631,AL,391,529,*,,,,,,,,,,,,,,,,reh-ar,3478,
absRehFin,reh-ar.fina,uni0631.fina,,601,,AL,409,530,*,,,,,,,,,,,,,,,,,3478.001,
absZain,zain-ar,uni0632,,345,0632,AL,392,531,SHLM,absReh,reh-ar,_dot1,,,,,,,,,,,,,zain-ar,3481,
absZainFin,zain-ar.fina,uni0632.fina,,602,,AL,410,532,SHLM,absRehFin,reh-ar.fina,_dot1,,,,,,,,,,,,,,3481.001,
absZainHat,zainVinvertedabove-ar,uni08B2,,360,08B2,AL,406,533,SHL,absReh,reh-ar,_dot1_hat,,,,,,,7.0,absJeh.dotHat,,,# cv90=1,,zainVinvertedabove-ar,3484,
absZainHatFin,zainVinvertedabove-ar.fina,uni08B2.fina,,617,,AL,424,534,SHL,absRehFin,reh-ar.fina,_dot1_hat,,,,,,,7.0,absJehFin.dotHat,,,,,,3484.001,
absRreh,rreh-ar,uni0691,,346,0691,AL,393,535,SL,absReh,reh-ar,_tah,,,,,,,,,,,,,rreh-ar,3488,
absRrehFin,rreh-ar.fina,uni0691.fina,,603,,AL,411,536,SL,absRehFin,reh-ar.fina,_tah,,,,,,,,,,,,,,3488.001,
absRehSmallV,rehv-ar,uni0692,,348,0692,AL,395,537,SHL,absReh,reh-ar,_smallV,,,,,,,,,,,,,rehv-ar,3491,
absRehSmallVFin,rehv-ar.fina,uni0692.fina,,605,,AL,413,538,SHL,absRehFin,reh-ar.fina,_smallV,,,,,,,,,,,,,,3491.001,
absRehRing,rehRing-ar,uni0693,,349,0693,AL,396,539,SL,absReh,reh-ar,,,,_ring,,,,,,,,,,rehRing-ar,3492,
absRehRingFin,rehRing-ar.fina,uni0693.fina,,606,,AL,414,540,SL,absRehFin,reh-ar.fina,,,,_ring,,,,,,,,,,,3492.001,
absRehDotBelow,rehDotbelow-ar,uni0694,,350,0694,AL,397,541,SHL,absReh,reh-ar,,_dot1,,,,,,,,,,,,rehDotbelow-ar,3493,
absRehDotBelowFin,rehDotbelow-ar.fina,uni0694.fina,,607,,AL,415,542,SHL,absRehFin,reh-ar.fina,,_dot1,,,,,,,,,,,,,3493.001,
absRehSmallVBelow,rehVbelow-ar,uni0695,,351,0695,AL,398,543,SHL,absReh,reh-ar,,_smallV,,,,,,,,,,,,rehVbelow-ar,3494,
absRehSmallVBelowFin,rehVbelow-ar.fina,uni0695.fina,,608,,AL,416,544,SHL,absRehFin,reh-ar.fina,,_smallV,,,,,,,,,,,,,3494.001,
absRehDotBelowDotAbove,rehDotbelowdotabove-ar,uni0696,,352,0696,AL,399,545,SHL,absReh,reh-ar,,_dot1,_dot1,,,,,,,,,,,rehDotbelowdotabove-ar,3495,
absRehDotBelowDotAboveFin,rehDotbelowdotabove-ar.fina,uni0696.fina,,609,,AL,417,546,SHL,absRehFin,reh-ar.fina,,_dot1,_dot1,,,,,,,,,,,,3495.001,
absRehTwoDotsAbove,rehTwodots-ar,uni0697,,353,0697,AL,400,547,SHL,absReh,reh-ar,_dot2h,,,,,,,,,,,,,rehTwodots-ar,3496,
absRehTwoDotsAboveFin,rehTwodots-ar.fina,uni0697.fina,,610,,AL,418,548,SHL,absRehFin,reh-ar.fina,_dot2h,,,,,,,,,,,,,,3496.001,
absJeh,jeh-ar,uni0698,,354,0698,AL,401,549,SHLM,absReh,reh-ar,_dot3u,,,,,,,,,,,cv90,,jeh-ar,3497,
absJehFin,jeh-ar.fina,uni0698.fina,,611,,AL,419,550,SHLM,absRehFin,reh-ar.fina,_dot3u,,,,,,,,,,,,,,3497.001,
absRehFourDotsAbove,rehFourdots-ar,uni0699,,355,0699,AL,402,551,SHL,absReh,reh-ar,_dot4,,,,,,,,,,,,,rehFourdots-ar,3500,
absRehFourDotsAboveFin,rehFourdots-ar.fina,uni0699.fina,,612,,AL,420,552,SHL,absRehFin,reh-ar.fina,_dot4,,,,,,,,,,,,,,3500.001,
absRehHat,rehVinvertedabove-ar,uni06EF,,361,06EF,AL,407,553,SHL,absReh,reh-ar,_hat,,,,,,,,,,,,,rehVinvertedabove-ar,3501,
absRehHatFin,rehVinvertedabove-ar.fina,uni06EF.fina,,618,,AL,425,554,SHL,absRehFin,reh-ar.fina,_hat,,,,,,,,,,,,,,3501.001,
absRehBar,rehStroke-ar,uni075B,,362,075B,AL,408,555,SHL,absReh,reh-ar,,,,,_bar,,,,,,,,,rehStroke-ar,3502,
absRehBarFin,rehStroke-ar.fina,uni075B.fina,,619,,AL,426,556,SHL,absRehFin,reh-ar.fina,,,,,_bar,,,,,,,,,,3502.001,
absRehTwoVertAbove,rehTwodotsverticalabove-ar,uni076B,,356,076B,AL,403,557,SHL,absReh,reh-ar,_dot2v,,,,,,,,,,,,,rehTwodotsverticalabove-ar,3503,
absRehTwoVertAboveFin,rehTwodotsverticalabove-ar.fina,uni076B.fina,,613,,AL,421,558,SHL,absRehFin,reh-ar.fina,_dot2v,,,,,,,,,,,,,,3503.001,
absRehHamzaAbove,rehHamzaabove-ar,uni076C,,357,076C,AL,404,559,SL,absReh,reh-ar,_hamza,,,,,,,,,,,,,rehHamzaabove-ar,3504,
absRehHamzaAboveFin,rehHamzaabove-ar.fina,uni076C.fina,,614,,AL,422,560,SL,absRehFin,reh-ar.fina,_hamza,,,,,,,,,,,,,,3504.001,
absRehSmallTahTwoDots,rehTwodotshorizontalaboveTahabove-ar,uni0771,,358,0771,AL,405,561,SL,absReh,reh-ar,_dot2h_tah,,,,,,,5.1,,,,,,rehTwodotshorizontalaboveTahabove-ar,3505,
absRehSmallTahTwoDotsFin,rehTwodotshorizontalaboveTahabove-ar.fina,uni0771.fina,,615,,AL,423,562,SL,absRehFin,reh-ar.fina,_dot2h_tah,,,,,,,5.1,,,,,,,3505.001,
absRehSmallNoonAbove,rehNoonabove-ar,uni08B9,,347,08B9,AL,394,563,SH,absReh,reh-ar,_noon,,,,,,,9.0,,,,,,,,USV not found
absRehSmallNoonAboveFin,rehNoonabove-ar.fina,uni08B9.fina,,604,,AL,412,564,SH,absRehFin,reh-ar.fina,_noon,,,,,,,9.0,,,,,,,,not found
absRehLoop,rehLoop-ar,uni08AA,,363,08AA,AL,427,565,SL,,,,,,,,,,6.1,,,,,,rehLoop-ar,3507,
absRehLoopFin,rehLoop-ar.fina,uni08AA.fina,,620,,AL,428,566,SL,,,,,,,,,,6.1,,,,,,,3507.001,
absSmallHighRehHahMark,rehHahabove-ar,uni0612,,1247,0612,NSM,1235,567,SH,,,,,,,,,,,,,,,,rehHahabove-ar,3508,
absSmallHighRehDadMark,rehDadabove-ar,uni0613,,1248,0613,NSM,1236,568,SH,,,,,,,,,,,,,,,,rehDadabove-ar,3509,
absSeen,seen-ar,uni0633,,432,0633,AL,607,569,*,,,,,,,,,,,,,,,,seen-ar,3510,
absSeenFin,seen-ar.fina,uni0633.fina,,689,,AL,618,570,*,,,,,,,,,,,,,,,,,3510.001,
absSeenMed,seen-ar.medi,uni0633.medi,,885,,AL,640,571,*,,,,,,,,,,,,,,,,,3510.002,
absSeenIni,seen-ar.init,uni0633.init,,1048,,AL,629,572,*,,,,,,,,,,,,,,,,,3510.003,
absSeenDotBelowDotAbove,seenDotbelowDotabove-ar,uni069A,,434,069A,AL,609,573,SHL,absSeen,seen-ar,_dot1,_dot1,,,,,,,,,,,,seenDotbelowDotabove-ar,3515,
absSeenDotBelowDotAboveFin,seenDotbelowDotabove-ar.fina,uni069A.fina,,691,,AL,620,574,SHL,absSeenFin,seen-ar.fina,_dot1,_dot1,,,,,,,,,,,,,3515.001,
absSeenDotBelowDotAboveMed,seenDotbelowDotabove-ar.medi,uni069A.medi,,887,,AL,642,575,SHL,absSeenMed,seen-ar.medi,_dot1,_dot1,,,,,,,,,,,,,3515.002,
absSeenDotBelowDotAboveIni,seenDotbelowDotabove-ar.init,uni069A.init,,1050,,AL,631,576,SHL,absSeenIni,seen-ar.init,_dot1,_dot1,,,,,,,,,,,,,3515.003,
absSeenThreeDotsBelow,seenThreedotsbelow-ar,uni069B,,435,069B,AL,610,577,SHL,absSeen,seen-ar,,_dot3d,,,,,,,,,,,,seenThreedotsbelow-ar,3516,
absSeenThreeDotsBelowFin,seenThreedotsbelow-ar.fina,uni069B.fina,,692,,AL,621,578,SHL,absSeenFin,seen-ar.fina,,_dot3d,,,,,,,,,,,,,3516.001,
absSeenThreeDotsBelowMed,seenThreedotsbelow-ar.medi,uni069B.medi,,888,,AL,643,579,SHL,absSeenMed,seen-ar.medi,,_dot3d,,,,,,,,,,,,,3516.002,
absSeenThreeDotsBelowIni,seenThreedotsbelow-ar.init,uni069B.init,,1051,,AL,632,580,SHL,absSeenIni,seen-ar.init,,_dot3d,,,,,,,,,,,,,3516.003,
absSheen,sheen-ar,uni0634,,433,0634,AL,608,581,SHLM,absSeen,seen-ar,_dot3u,,,,,,,,,,,,,sheen-ar,3517,
absSheenFin,sheen-ar.fina,uni0634.fina,,690,,AL,619,582,SHLM,absSeenFin,seen-ar.fina,_dot3u,,,,,,,,,,,,,,3517.001,
absSheenMed,sheen-ar.medi,uni0634.medi,,886,,AL,641,583,SHLM,absSeenMed,seen-ar.medi,_dot3u,,,,,,,,,,,,,,3517.002,
absSheenIni,sheen-ar.init,uni0634.init,,1049,,AL,630,584,SHLM,absSeenIni,seen-ar.init,_dot3u,,,,,,,,,,,,,,3517.003,
absSheenDotBelow,sheenDotbelow-ar,uni06FA,,437,06FA,AL,612,585,SHL,absSeen,seen-ar,_dot3u,_dot1,,,,,,,,,,,,sheenDotbelow-ar,3522,
absSheenDotBelowFin,sheenDotbelow-ar.fina,uni06FA.fina,,694,,AL,623,586,SHL,absSeenFin,seen-ar.fina,_dot3u,_dot1,,,,,,,,,,,,,3522.001,
absSheenDotBelowMed,sheenDotbelow-ar.medi,uni06FA.medi,,890,,AL,645,587,SHL,absSeenMed,seen-ar.medi,_dot3u,_dot1,,,,,,,,,,,,,3522.002,
